"행정구역","2025년05월_전월인구수_남자인구수","2025년05월_전월인구수_여자인구수","2025년05월_전월인구수_계","2025년05월_당월인구수_남자인구수","2025년05월_당월인구수_여자인구수","2025년05월_당월인구수_계","2025년05월_인구증감_남자인구수","2025년05월_인구증감_여자인구수","2025년05월_인구증감_계"
"전국  (1000000000)","25,474,633","25,701,092","51,175,725","25,470,398","25,698,750","51,169,148","-4,235","-2,342","-6,577"
"서울특별시  (1100000000)","4,501,804","4,830,056","9,331,860","4,499,145","4,828,897","9,328,042","-2,659","-1,159","-3,818"
"부산광역시  (2600000000)","1,584,035","1,672,373","3,256,408","1,582,928","1,671,529","3,254,457","-1,107","-844","-1,951"
"대구광역시  (2700000000)","1,156,613","1,202,546","2,359,159","1,155,934","1,202,063","2,357,997","-679","-483","-1,162"
"인천광역시  (2800000000)","1,515,919","1,517,925","3,033,844","1,517,498","1,519,551","3,037,049","1,579","1,626","3,205"
"광주광역시  (2900000000)","691,334","709,493","1,400,827","690,826","709,054","1,399,880","-508","-439","-947"
"대전광역시  (3000000000)","717,423","721,970","1,439,393","717,511","722,096","1,439,607","88","126","214"
"울산광역시  (3100000000)","563,471","530,989","1,094,460","563,339","530,688","1,094,027","-132","-301","-433"
"세종특별자치시  (3600000000)","195,101","196,891","391,992","195,189","197,022","392,211","88","131","219"
"경기도  (4100000000)","6,884,608","6,818,148","13,702,756","6,886,034","6,820,454","13,706,488","1,426","2,306","3,732"
"강원특별자치도  (5100000000)","760,329","751,759","1,512,088","759,974","751,367","1,511,341","-355","-392","-747"
"충청북도  (4300000000)","810,131","780,604","1,590,735","810,348","780,608","1,590,956","217","4","221"
"충청남도  (4400000000)","1,096,057","1,039,851","2,135,908","1,096,206","1,039,702","2,135,908","149","-149","0"
"전북특별자치도  (5200000000)","863,216","869,223","1,732,439","862,633","868,676","1,731,309","-583","-547","-1,130"
"전라남도  (4600000000)","901,278","883,725","1,785,003","901,006","883,110","1,784,116","-272","-615","-887"
"경상북도  (4700000000)","1,276,838","1,245,771","2,522,609","1,275,956","1,244,978","2,520,934","-882","-793","-1,675"
"경상남도  (4800000000)","1,622,833","1,595,898","3,218,731","1,622,407","1,595,177","3,217,584","-426","-721","-1,147"
"제주특별자치도  (5000000000)","333,643","333,870","667,513","333,464","333,778","667,242","-179","-92","-271"
